candidate_id,candidate_name,phone,email,agent,token_date,token_paid,token_status,lead_source,remarks,lead_created_date,full_payment_date,enrolled,offer_letter_released,payment_method,utr,interview,offer_released_date,loan_docs,start_of_the_week,cohort,ad_id,ad_set_id,city,state,manager,test_submitted_date,first_call_date,application_date
DELX-379891,Amit Munjal,9811117110,amitmunjal@gmail.com,Sangeeta Haldar,2024-10-02,1,Active,Facebook,Unknown,2024-09-20 00:22:00,2025-01-11,Enrolled,1,Partial,0.0,,,,2024-09-30,Cohort 2,120212285781150220,120212285593910220,Faridabad,Haryana,Akshit,2024-12-07 22:45:00,2024-12-21 17:34:00,2024-12-01 11:11:00
DELX-237805,Kanika Gussain,9711911111,kanikagussain@gmail.com,Farakhuddin Khan,2024-06-07,1,Drop,Linkedin,Unknown,,,,1,,,,2024-06-03,Cohort 2,,,Unknown,Unknown,Akshit,,,
DELX-230782,Shubham Bisht,7610111198,shubhambisht@gmail.com,Harshita,2024-06-13,1,Active,LinkedIn,Unknown,2024-05-27 21:00:00,2024-11-11,Enrolled,1,One shot,0.0,,,,2024-06-10,Cohort 2,,,Unknown,Unknown,Akshit,,2024-11-05 17:41:00,
DELX-189068,Saurabh Saini,8080517119,saurabhsaini@gmail.com,Akshay Manhas,2024-05-05,1,Drop,Facebook,Unknown,2024-04-17 00:28:00,,,1,,,,2024-04-29,Cohort 2,120215287102120500,120214054895500500,Unknown,Unknown,Akshit,,2024-11-05 16:11:00,
DELX-299603,Snehashis Ghosh,8119006657,snehashisghosh@gmail.com,Harshita,2024-07-21,1,Active,Referral Sites,Unknown,2024-07-15 04:11:00,2024-11-04,Enrolled,1,Loan,0.0,,,,2024-07-15,Cohort 2,,,Unknown,Unknown,Akshit,,2024-11-04 12:10:00,
DELX-279950,Prashant Sharma,7099789601,prashantsharma@gmail.com,Sangeeta Haldar,2024-07-03,1,Active,LinkedIn,Unknown,2024-06-26 14:25:00,2024-11-18,Enrolled,1,Loan,0.0,,,,2024-07-01,Cohort 2,,,Unknown,Unknown,Akshit,,2024-11-05 16:34:00,
DELX-170713,Pratyush Pandit,7155155895,pratyushpandit@gmail.com,Monika Panchal,2024-03-26,1,Active,LinkedIn,Unknown,2024-03-22 12:46:00,2024-12-31,Enrolled,1,Partial,0.0,,,,2024-03-25,Cohort 2,,,Unknown,Unknown,Akshit,,2024-12-05 15:28:00,
DELX-194252,Saurabh Sarasar,8109086861,saurabhsarasar@gmail.com,Monalisa Das,2024-12-02,1,Active,Facebook,Unknown,2024-04-24 21:04:00,2024-12-31,Enrolled,1,One shot,0.0,,,,2024-12-02,Cohort 2,120214005189310500,120214004940220500,Unknown,Unknown,Akshit,2024-11-30 23:14:00,2024-11-13 14:25:00,
BLRX-103622,Lynellle Fernandes,9001195911,lynelllefernandes@gmail.com,Sangeeta Haldar,2024-10-02,1,Drop,LinkedIn,Unknown,2023-09-24 16:58:00,,,1,,,,2024-09-30,Cohort 2,,,Unknown,Unknown,Akshit,2024-09-28 15:04:00,2024-11-07 12:57:00,
DELX-290981,Sagar Tiwarekar,8655979779,sagartiwarekar@gmail.com,Vaishali Phalke,2024-11-14,1,Active,Futurense IITJ-MBA.Tech- Main Page,Unknown,2024-07-07 21:11:00,2024-12-01,Enrolled,1,One shot,0.0,,,,2024-11-11,Cohort 2,,,Thane,Maharashtra,Akshit,2024-11-13 21:07:00,2024-11-06 11:05:00,2024-11-10 13:19:00
DELX-146891,Sourav Rakshit,7001976618,souravrakshit@gmail.com,Rishi Joshi,2025-01-10,1,Active,LinkedIn,Unknown,2024-02-01 00:39:00,,,1,,,,2025-01-06,Cohort 2,524521026,,Kolkata,West Bengal,Akshit,2024-12-28 09:47:00,2024-11-30 18:53:00,2024-12-17 13:26:00
DELX-333492,Pradeep Singh,8506881771,pradeepsingh@gmail.com,Rupanshi Shekhawat,2024-09-23,1,Active,Database,Unknown,2024-08-12 18:48:00,2024-10-29,Enrolled,1,Partial,0.0,,,,2024-09-23,Cohort 2,,,Surat,Gujarat,Akshit,,2024-11-22 18:54:00,2024-09-10 16:08:00
DELX-290591,Sankaran Subramanian,9790117116,sankaransubramanian@gmail.com,Payal Gupta,2024-12-26,1,Active,LinkedIn,Unknown,2024-07-08 23:45:00,2024-12-31,Enrolled,1,One shot,0.0,,,,2024-12-23,Cohort 2,524514516,,Hyderabad,Telangana,Akshit,2024-12-26 00:09:00,2024-12-24 18:54:00,2024-12-25 16:01:00
DELX-204495,Yash Gupta,8076051879,yashgupta@gmail.com,Kumar Rohit,2024-05-12,1,Drop,Linkedin,Unknown,,,,1,,,,2024-05-06,Cohort 2,,,Unknown,Unknown,Akshit,,,
DELX-208894,Karthik Chetty,9015065156,karthikchetty@gmail.com,Akshay Manhas,2024-11-04,1,Active,Linkedin,Unknown,,2024-11-22,Enrolled,1,Loan,0.0,,,,2024-11-04,Cohort 2,120212409290100220,120212409143860220,Bangalore,Unknown,Akshit,2024-11-04 16:38:00,,
DELX-253576,Dheeraj Joshi,9669117676,dheerajjoshi@gmail.com,Vinti,2024-11-09,1,Active,Facebook,Unknown,2024-06-11 09:09:00,2024-11-28,Enrolled,1,One shot,0.0,,,,2024-11-04,Cohort 2,,,Indore,Madhya Pradesh,Akshit,2024-11-08 19:38:00,2024-11-04 16:58:00,2024-10-20 19:19:00
BLRX-125546,Mayank Srivastava,7501708151,mayanksrivastava@gmail.com,Simran Rana,2024-10-24,1,Active,Facebook,Unknown,2023-12-13 01:41:00,2024-11-13,Enrolled,1,One shot,0.0,,,,2024-10-21,Cohort 2,120212409232300220,120212409143860220,New Delhi,Delhi,Akshit,2024-10-24 01:22:00,2024-11-03 10:27:00,2024-10-13 14:48:00
